,State,Country,Last Update,Lat,Long,Confirmed,Recovered,Deaths,Active
88,Quebec,Canada,2021-04-24 09:20:58,52.9399,-73.5491,342688,320302,10860,11526
89,Repatriated Travellers,Canada,2021-04-24 09:20:58,,,13,13,0,0
90,Saskatchewan,Canada,2021-04-24 09:20:58,52.9399,-106.4509,39392,36458,471,2463
91,Yukon,Canada,2021-04-24 09:20:58,64.2823,-135.0,80,77,1,2
92,,Central African Republic,2021-04-24 09:20:58,6.6111,20.9394,6224,5112,85,1027
93,,Chad,2021-04-24 09:20:58,15.4542,18.7322,4747,4382,169,196
94,Antofagasta,Chile,2021-04-24 09:20:58,-23.6509,-70.3975,47649,45198,944,1507
95,Araucania,Chile,2021-04-24 09:20:58,-38.9489,-72.3311,67353,62852,828,3673
96,Arica y Parinacota,Chile,2021-04-24 09:20:58,-18.594,-69.4785,19471,18300,388,783
97,Atacama,Chile,2021-04-24 09:20:58,-27.5661,-70.0503,17208,15945,195,1068
98,Aysen,Chile,2021-04-24 09:20:58,-45.9864,-73.7669,4085,3866,30,189
99,Biobio,Chile,2021-04-24 09:20:58,-37.4464,-72.1416,111596,105429,1824,4343
100,Coquimbo,Chile,2021-04-24 09:20:58,-29.959,-71.3389,30883,29168,600,1115
101,Los Lagos,Chile,2021-04-24 09:20:58,-41.9198,-72.1416,67221,64618,889,1714
102,Los Rios,Chile,2021-04-24 09:20:58,-40.231,-72.3311,32492,30875,364,1253
103,Magallanes,Chile,2021-04-24 09:20:58,-52.368,-70.9863,24577,23539,366,672
104,Maule,Chile,2021-04-24 09:20:58,-35.5183,-71.6885,67211,62004,1143,4064
105,Metropolitana,Chile,2021-04-24 09:20:58,-33.4376,-70.6505,481171,450381,13823,16967
106,Nuble,Chile,2021-04-24 09:20:58,-36.7226,-71.7622,24994,23608,447,939
107,OHiggins,Chile,2021-04-24 09:20:58,-34.5755,-71.0022,45975,42932,1008,2035
108,Tarapaca,Chile,2021-04-24 09:20:58,-19.9232,-69.5132,32702,31066,595,1041
109,Unknown,Chile,2021-04-24 09:20:58,,,55,48,0,7
110,Valparaiso,Chile,2021-04-24 09:20:58,-33.0472,-71.6127,81259,75002,2197,4060
111,Anhui,China,2021-04-24 09:20:58,31.8257,117.2264,994,988,6,0
112,Beijing,China,2021-04-24 09:20:58,40.1824,116.4142,1057,1038,9,10
113,Chongqing,China,2021-04-24 09:20:58,30.0572,107.874,594,585,6,3
114,Fujian,China,2021-04-24 09:20:58,26.0789,117.9874,586,561,1,24
115,Gansu,China,2021-04-24 09:20:58,35.7518,104.2861,193,190,2,1
